Name,BlockId,Col,Row,Name1,Name2,Drug1,Drug2,sd,Replicate,Value,Fa,Fu,FaFu,Drug,DrugNum,Average,Dist,Inflection,Neighbor,MedianEffect,count,min,max,Experiment
Tazemetostat_1,4,5,10,Tazemetostat_1,Doxorubicin_2,1.25,0,NA,1,0.95342266379831,0.0465773362016898,0.95342266379831,0.048852768001268,1.25,1,0.95342266379831,0.45342266379831,10,4,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,4,4,10,Tazemetostat_1,Doxorubicin_2,2.5,0,NA,1,0.969519849068562,0.0304801509314383,0.969519849068562,0.0314383980490149,2.5,1,0.969519849068562,0.469519849068562,10,3,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,4,3,10,Tazemetostat_1,Doxorubicin_2,5,0,NA,1,0.948739809776417,0.0512601902235829,0.948739809776417,0.0540297663230375,5,1,0.948739809776417,0.448739809776417,10,2,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,4,2,10,Tazemetostat_1,Doxorubicin_2,10,0,NA,1,0.839953350846482,0.160046649153518,0.839953350846482,0.190542306893862,10,1,0.839953350846482,0.339953350846482,10,1,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,4,1,10,Tazemetostat_1,Doxorubicin_2,20,0,NA,1,0.76638197378401,0.23361802621599,0.76638197378401,0.304832360634086,20,1,0.76638197378401,0.26638197378401,10,0,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
JQ1_2,5,10,10,Tazemetostat_1,JQ1_2,0,0,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,0.078125,2,0.9999,0.4999,7,6,FALSE,5,0.15625,2.5,EOL1_ASSAY_ID_10946
JQ1_2,5,10,6,Tazemetostat_1,JQ1_2,0,0.15625,NA,1,0.99,0.01,0.99,0.0101010101010101,0.15625,2,0.99,0.49,7,2,TRUE,5,0.15625,2.5,EOL1_ASSAY_ID_10946
JQ1_2,5,10,5,Tazemetostat_1,JQ1_2,0,0.3125,NA,1,0.821973614961313,0.178026385038687,0.821973614961313,0.216584062795089,0.3125,2,0.821973614961313,0.321973614961313,7,1,TRUE,5,0.15625,2.5,EOL1_ASSAY_ID_10946
JQ1_2,5,10,4,Tazemetostat_1,JQ1_2,0,0.625,NA,1,0.509694899050705,0.490305100949295,0.509694899050705,0.961958029916481,0.625,2,0.509694899050705,0.00969489905070453,7,0,TRUE,5,0.15625,2.5,EOL1_ASSAY_ID_10946
JQ1_2,5,10,3,Tazemetostat_1,JQ1_2,0,1.25,NA,1,0.205426712136731,0.794573287863269,0.205426712136731,3.86791610301587,1.25,2,0.205426712136731,0.294573287863269,7,-1,TRUE,5,0.15625,2.5,EOL1_ASSAY_ID_10946
JQ1_2,5,10,2,Tazemetostat_1,JQ1_2,0,2.5,NA,1,0.0595379122114531,0.940462087788547,0.0595379122114531,15.7960206002594,2.5,2,0.0595379122114531,0.440462087788547,7,-2,TRUE,5,0.15625,2.5,EOL1_ASSAY_ID_10946
Tazemetostat_1,5,10,10,Tazemetostat_1,JQ1_2,0,0,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,0.625,1,0.9999,0.4999,10,9,NA,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,5,5,10,Tazemetostat_1,JQ1_2,1.25,0,NA,1,0.889027893528542,0.110972106471458,0.889027893528542,0.124824099760257,1.25,1,0.889027893528542,0.389027893528542,10,4,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,5,4,10,Tazemetostat_1,JQ1_2,2.5,0,NA,1,0.94704631653772,0.05295368346228,0.94704631653772,0.055914565673907,2.5,1,0.94704631653772,0.44704631653772,10,3,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,5,3,10,Tazemetostat_1,JQ1_2,5,0,NA,1,0.99,0.01,0.99,0.0101010101010101,5,1,0.99,0.49,10,2,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,5,2,10,Tazemetostat_1,JQ1_2,10,0,NA,1,0.739038124666058,0.260961875333942,0.739038124666058,0.353110166612663,10,1,0.739038124666058,0.239038124666058,10,1,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,5,1,10,Tazemetostat_1,JQ1_2,20,0,NA,1,0.6793398143494,0.3206601856506,0.6793398143494,0.472017359909479,20,1,0.6793398143494,0.1793398143494,10,0,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
A-485_2,6,10,10,Tazemetostat_1,A-485_2,0,0,12.1109240925881,3,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,0.625,2,0.9999,0.4999,8,7,FALSE,5,1.25,20,EOL1_ASSAY_ID_10946
A-485_2,6,10,5,Tazemetostat_1,A-485_2,0,1.25,3.85172330873667,3,0.99,0.01,0.99,0.0101010101010101,1.25,2,0.99,0.49,8,2,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
