Name1,Name2,BlockId,Col,Row,Drug1,Drug2,sd,Replicate,Value,Fa,Fu,FaFu,Name,Drug,DrugNum,min1,max1,min2,max2,Experiment
Tazemetostat_1,JQ1_2,5,4,10,2.5,0.078125,NA,1,0.94704631653772,0.05295368346228,0.94704631653772,0.055914565673907,Tazemetostat_1,2.5,1,1.25,20,0.15625,2.5,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,5,3,10,5,0.078125,NA,1,0.99,0.01,0.99,0.0101010101010101,Tazemetostat_1,5,1,1.25,20,0.15625,2.5,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,5,2,10,10,0.078125,NA,1,0.739038124666058,0.260961875333942,0.739038124666058,0.353110166612663,Tazemetostat_1,10,1,1.25,20,0.15625,2.5,EOL1_ASSAY_ID_10946
Tazemetostat_1,JQ1_2,5,1,10,20,0.078125,NA,1,0.6793398143494,0.3206601856506,0.6793398143494,0.472017359909479,Tazemetostat_1,20,1,1.25,20,0.15625,2.5,EOL1_ASSAY_ID_10946
Tazemetostat_1,NCGC00505118_2,6,10,10,0.625,0.625,12.1109240925881,3,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,NCGC00505118_2,0,2,1.25,20,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,NCGC00505118_2,6,10,5,0.625,1.25,3.85172330873667,3,0.99,0.01,0.99,0.0101010101010101,NCGC00505118_2,1.25,2,1.25,20,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,NCGC00505118_2,6,10,4,0.625,2.5,10.0617459511419,3,0.99,0.01,0.99,0.0101010101010101,NCGC00505118_2,2.5,2,1.25,20,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,NCGC00505118_2,6,10,3,0.625,5,8.4190095042116,3,0.842970058275577,0.157029941724423,0.842970058275577,0.186281754829645,NCGC00505118_2,5,2,1.25,20,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,NCGC00505118_2,6,10,2,0.625,10,16.8518131964377,3,0.99,0.01,0.99,0.0101010101010101,NCGC00505118_2,10,2,1.25,20,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,NCGC00505118_2,6,10,1,0.625,20,9.92907197818104,3,0.99,0.01,0.99,0.0101010101010101,NCGC00505118_2,20,2,1.25,20,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,NCGC00505118_2,6,10,10,0.625,0.625,12.1109240925881,3,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Tazemetostat_1,0,1,1.25,20,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,NCGC00505118_2,6,5,10,1.25,0.625,14.1725819514206,3,0.862653564021868,0.137346435978132,0.862653564021868,0.159213897335327,Tazemetostat_1,1.25,1,1.25,20,1.25,20,EOL1_ASSAY_ID_10946
